objectid,filename,title,creator,date,description,subject,location,source,type,format,language,rights,rightsstatement,latitude,longitude
image19,image19.jpg,Christ on the Cross,"Zurbar‡n, Francisco de",1627,oil on canvas,"The Cartela, The Veil, and the Canvas: Zurbarâ€¡nÃ•s Deceptions ",Chicago,,Image;StillImage,image/jpeg,eng,,,41.8755546,-87.6244212
image20,image20.jpg,The Martyrdom of St Bartholomew,"Ribera, Jusepe",1644,oil on canvas,"Noble or Ugly, Ideal or Repulsive: The Naturalism of Ribera ",Barcelona:  National Art Museum of Catalonia,,Image;StillImage,image/jpeg,eng,,,41.3828939,2.1774322
image21,image21.jpg,Old Woman Cooking Eggs,"Velazquez, Diego de (Spanish painter, 1599-1660)",1618,oil on canvas,"Servants, Spinners, And Ladies In Waiting: Velâ€¡zquez and the Court of Philip IV ","National Gallery, Edinburgh, Scotland",,Image;StillImage,image/jpeg,eng,,,55.9495628,-3.1914972
image22,image22.jpg,The Water Carrier of Seville,"Velazquez, Diego de (Spanish painter, 1599-1660)",1622-1623,oil on canvas,"Servants, Spinners, And Ladies In Waiting: Velâ€¡zquez and the Court of Philip IV ","Waterloo Gallery of Apsley House, UK",,Image;StillImage,image/jpeg,eng,,,56.5163757,-3.5324026
image24,image24.jpg,Philip IV,"Velazquez, Diego de (Spanish painter, 1599-1660)",1624,,"Servants, Spinners, And Ladies In Waiting: Velâ€¡zquez and the Court of Philip IV ","Madrid, spain",,Image;StillImage,image/jpeg,eng,,,40.4167047,-3.7035825
image25,image25.jpg,Las Meninas,"Velazquez, Diego de (Spanish painter, 1599-1660)",1656,"Oil on canvas, 320.5 x 281.5 cm.","Servants, Spinners, And Ladies In Waiting: Velâ€¡zquez and the Court of Philip IV ","Museo del Prado, Madrid, Spain",https://www.flickr.com/photos/98216234@N08/14267701765,Image;StillImage,image/jpeg,eng,"""Las Meninas"" by lluisribesmateu1969, CC BY-NC 2.0.",https://creativecommons.org/licenses/by-sa/3.0/deed.en,40.4167047,-3.7035825
image26,image26.png,In Ictu Oculi (In the Blink of an Eye),"Valdes Leal, Juan de (1622-1690)",1670-1672,"Oil on canvas, height: 220 cm (86.6 in); width: 216 cm (85 in).","Beauty, Charity, Horror: Murillo and Juan ValdÅ½z Leal ","Hospital of the Brotherhood of Charity, Seville",https://commons.wikimedia.org/wiki/File:In_ictu_oculi.png,Image;StillImage,image/png,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/deed.en,37.38404312,-5.99545176
image27,image27.jpg,St. Peter Freed by the Angel,"Murillo, Bartolome Esteban (1618-1682)",1665-1667,"Oil on canvas, 238 x 260 cm.","Beauty, Charity, Horror: Murillo and Juan ValdÅ½z Leal ","Hermitage Museum, St. Petersburg",https://commons.wikimedia.org/wiki/File:Liberacion_de_San_Pedro_Murillo_1667.jpg,Image;StillImage,image/jpeg,eng,Public Domain. Image courtesy Hermitage Museum,https://creativecommons.org/publicdomain/mark/1.0/deed.en,59.93990859,30.31451111
image28,image28.jpg,Baptism of Ixtlilxochitl II,"Vivar y Valderrama, JosŽ",1701-1799,"Ixtlilxochitl II (c. 1500-1550) was the son of Nezahualpilli, Tlatoani of Texcoco. In 1516 Nezahualpilli died, and the succession was contested by several of his sons, including Cacamatzin and Ixtlilxochitl. The former gained the support of Moctezuma II, Tlatoani of the Aztec Empire. A civil war ensued, and ended in a tripartite division of Tetzcoco, by which one third of the kingdom, with the capital, was awarded to Cacamatzin, the northern part to his brother Ixtlilxochitl, and the third part to another claimant to the throne. Ixtlilxochitl became from that time the enemy of Moctezuma II. ","Contact, Conquest, and Conversion: Mission Architecture and Decoration in Colonial Latin America ",Mexico,,Image;StillImage,image/jpeg,eng,,,19.4326009,-99.1333416
image29,image29.jpg,Historia de Tlaxcala: The Erection of the First Cross,"Camargo, Diego Mu–oz ",1529-1599,"Pen and ink. This MS. belonged to the Royal Library of Philip II., to whom it was  presented by the author whose autograph signature it bears, at the close of his epistle dedicatory (2, 6 verso) and it was there in 1629 when Antonius Leonius (De Leon Pinelo) published at Madrid his Bibliotheca Indica Occidentalis.","Contact, Conquest, and Conversion: Mission Architecture and Decoration in Colonial Latin America ","University of Glasgow, Archives and Special Collections",http://collections.gla.ac.uk/#/details/ecatalogue/296613,Image;StillImage,image/jpeg,eng,"""Historia de Tlaxcala"", University of Glasgow, Archives and Special Collections, (http://collections.gla.ac.uk/#/details/ecatalogue/296613)",,55.856656,-4.2435817
image32,image32.png,Stones from a Zapotec temple incorporated in the facade of Dominican church,,,From the Preciosa Sangre de Cristo.  Built on ruins of a temple dedicated to Quetzalcoatl (Aztec feathered serpent creator god),"Contact, Conquest, and Conversion: Mission Architecture and Decoration in Colonial Latin America ","Sangre de Cristo, Teotitl‡n del Valle, Oaxaca","https://commons.wikimedia.org/wiki/File:Detail_Preciosa_Sangre_de_Cristo_Church_en_Teotitl%C3%A1n_del_Valle,_Oaxaca,_Mexico.jpg",Image;StillImage,image/png,eng,Creative Commons,https://creativecommons.org/licenses/by-sa/3.0/deed.en,17,-96.5
image34,image34.jpg,"Atrium cross of the San Miguel Arcangel monastery in Huejotzingo, Puebla, Mexico.",,1547-1571,Convent of San Miguel de Huejotzingo,"Contact, Conquest, and Conversion: Mission Architecture and Decoration in Colonial Latin America ","Huejotzingo, Mexico",https://commons.wikimedia.org/wiki/File:AtriumCrossHuejotzingo.JPG,Image;StillImage,image/jpeg,eng,Creative Commons,https://creativecommons.org/licenses/by-sa/3.0/deed.en,19.16427705,-98.43927536
image35,image35.jpg,"Mural painting, Black panther Otomi warrior vanquishing Chichimec foe",,1570,"Mural painting from the church of San Miguel Arcangel de Ixmiquilpan. The tlacuilos have adorned the church with an allegory of their defense of Christianity against a real contemporary foe. An abstract battle between good and evil is recast in the guise of the longstanding conflict between civilized and Christian Otomi and barbaric pagan Chichimec, underscoring the benefits of living in a Christian and Spanish state. This reading is supported by connections btw the churchÕs titular saint, St Michael the Archangel, and the pre-Columbian deity Tezcatlipoca, the Aztec patron of warriors.","Contact, Conquest, and Conversion: Mission Architecture and Decoration in Colonial Latin America ","Ixmiquilpan, Mexico",,Image;StillImage,image/jpeg,eng,,,20.53856895,-99.20111596
image36,image36.jpg,Mass of St. Gregory,Anonymous,1539,"Feather work/amantecayotl, 68 x 5 x 2.3 cm. Made for Pope Paul III in Mexico by the feather artists at San Jose de los Naturales (the students of de Gante), commissioned by the Nahua noble Diego de Alvarado Huanitzin (1st colonial governor of Tenochtitlan; the nephew and son in law of Moctezuma II) as a gift for Pope Paul III.",From the Codex to Mestizo Baroque: Hybrid Genres of Painting in Colonial Latin America  ,"Jacobin Museum, Auch, France","Artstor; Data From: University of California, San Diego.",Image;StillImage,image/jpeg,eng,Public Domain,https://about.jstor.org/terms/,43.64756293,0.588268937
image37,image37.jpg,Christ Child Wearing the Imperial Inca Crown and Catholic Priestly Robes,Anonymous,1690,"Oil and Gold leaf on canvas. Another portrait of a statue, and the only painting of its kind in existence. His attire is a transcultural hybrid: He wears the cape and gilded tunic of a Bishop, with a white linen alb visible beneath. But he also sports a mascaypacha (red forehead fringe that was prerogative of an Inca ruler), and he wears sandals with puma heads. Also has an elaborate neo-Inca headpiece decorated with pre-Hispanic heraldic emblems. It bears kantutas (the Inca sacred flowers). It has a black and white feather from the corequenque (the mythical falcon used by Inca royalty as a dynastic symbol). These are juxtaposed with circular ramparts, scepters, and a rainbow (all refs to the Inca fortress above Cuzco called Sacsayhuaman). And, the flowers in the vases on either side of the figure include roses, dahlias, and white lilies. Lily is a symbol for the purity of Mary, but the lilies that appear here are the amancay, a native Peruvian lily. ",From the Codex to Mestizo Baroque: Hybrid Genres of Painting in Colonial Latin America  ,University of Pennsylvania Library,https://manpodcast.com/portfolio/no-180-luisa-elena-alcala-ilona-katzew/,Image;StillImage,image/jpeg,eng,,,39.9522098,-75.19319533
image40,image40.jpg,Our Lady of the Rosary,"Unidentified  Indigenous artist, 17c",1675-1725,Oil on canvas with gold leaf,From the Codex to Mestizo Baroque: Hybrid Genres of Painting in Colonial Latin America  ,"Ayacucho, Peru",,Image;StillImage,image/jpeg,eng,,,-13.1604269,-74.2256973
image41,image41.jpg,Catedral Metropolitana,"Arciniega, Claudio de",1573,Zocalo facade; Sagrario Metropolitana at right,From the Cathedral to The Casa: the Architecture and Decoration of Urban Cathedrals and Houses in Viceregal Mexico and Peru ,Mexico,,Image;StillImage,image/jpeg,eng,,,19.4326009,-99.1333416
image42,image42.jpg,View of Plaza Mayor (Zocalo) of Mexico City,"Villalpando, Cristobal de (1649-1714)",1695,Oil on canvas,From the Cathedral to The Casa: the Architecture and Decoration of Urban Cathedrals and Houses in Viceregal Mexico and Peru ,,https://commons.wikimedia.org/wiki/File:Vista_de_la_Plaza_Mayor_de_la_Ciudad_de_M%C3%A9xico_-_Cristobal_de_Villalpando.jpg,Image;StillImage,image/jpeg,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/deed.en,,
image44,image44.jpg,Church of San Francisco,,1535,,From the Cathedral to The Casa: the Architecture and Decoration of Urban Cathedrals and Houses in Viceregal Mexico and Peru ,"Quito, Ecuador",https://www.flickr.com/photos/theblue/33556094/,Image;StillImage,image/jpeg,eng,"CC BY-NC-SA 2.0; ""Iglesia San Francisco, Quito, Ecuador"" by Eduardo Ochoa",https://creativecommons.org/licenses/by-sa/3.0/deed.en,-0.2201641,-78.5123274
image45,image45.jpg,Original mudejar ceiling,,1535,From the Church of San Francisco,From the Cathedral to The Casa: the Architecture and Decoration of Urban Cathedrals and Houses in Viceregal Mexico and Peru ,"Quito, Ecuador","https://commons.wikimedia.org/wiki/File:Iglesia_de_San_Francisco,_Quito,_Ecuador,_2015-07-22,_DD_174-176_HDR.JPG",Image;StillImage,image/jpeg,eng,"Photo by Diego Delso, Creative Commons",https://creativecommons.org/licenses/by-sa/3.0/deed.en,-0.2201641,-78.5123274
image46,image46.jpg,Church of Santo Domingo de Guzmâ€¡n,,1572-1724,,From the Cathedral to The Casa: the Architecture and Decoration of Urban Cathedrals and Houses in Viceregal Mexico and Peru ,"Oaxaca, Mexico",https://es.m.wikipedia.org/wiki/Archivo:Interior_Templo_de_Santo_Domingo_de_Guzm%C3%A1n.JPG,Image;StillImage,image/jpeg,eng,Creative Commons,https://creativecommons.org/licenses/by-sa/3.0/deed.en,17.06607531,-96.72321048
image47,image47.jpg,Capilla del Rosario,,1650-1690,"From the Santo Domingo de Guzman church ; Puebla design begun 1650 by Fray Juan Cuenca, continued by Fray Agustan Hernandez, and finished by Fray Diego de Gorozpe in 1690",From the Cathedral to The Casa: the Architecture and Decoration of Urban Cathedrals and Houses in Viceregal Mexico and Peru ,"Oaxaca, Mexico",,Image;StillImage,image/jpeg,eng,,,19.4326009,-99.1333416
image50,image50.png,La Casa del Deâ€¡n (House of the Dean),"Plaza, Tomas de la (Spanish priest and dean, 1519-1587)",1580-1590,"Frieze detail: She-Centaur, hallucinogenic flower; Interior fresco decorations ; Patron: Tomas de la Plaza, Dean of the Cathedral in Puebla.",From the Cathedral to The Casa: the Architecture and Decoration of Urban Cathedrals and Houses in Viceregal Mexico and Peru ,"Puebla de Zaragoza, Mexico",,Image;StillImage,image/png,eng,,,18.833333,-98
image51,image51.png,La Casa del Deâ€¡n (House of the Dean),"Plaza, Tomas de la (Spanish priest and dean, 1519-1587)",1580-1590,"Frieze detail: Ozomatli monkeys; Interior fresco decorations ; Patron: Tomas de la Plaza, Dean of the Cathedral in Puebla.",From the Cathedral to The Casa: the Architecture and Decoration of Urban Cathedrals and Houses in Viceregal Mexico and Peru ,"Puebla de Zaragoza, Mexico",,Image;StillImage,image/png,eng,,,18.833333,-98
